Epoch, Test loss
1, 0.00030678886
2, 0.0002578632
3, 0.00023752301
4, 0.00021826486
5, 0.00021967628
6, 0.00019602395
7, 0.00019682603
8, 0.00020190091
9, 0.00018787557
10, 0.00018126944
11, 0.00020240495
12, 0.00018141833
13, 0.00017840198
14, 0.000174282
15, 0.0001725494
16, 0.00017817208
17, 0.00018681913
18, 0.00018346334
19, 0.00018209605
20, 0.00017941614
21, 0.00017138643
22, 0.00017231658
23, 0.00017406303
24, 0.0001714515
25, 0.00017050897
26, 0.00016783639
27, 0.000174816
28, 0.0001680494
29, 0.00017432294
30, 0.00018033622
31, 0.00017939734
32, 0.000176678
33, 0.00017677015
34, 0.00017277639
35, 0.00016984124
36, 0.0001661582
37, 0.00018132433
38, 0.00016943876
39, 0.00016954645
40, 0.00017074963
41, 0.00017760105
42, 0.00017414744
43, 0.00016993714
44, 0.00018437614
45, 0.0001713438
46, 0.0001774033
47, 0.00018531764
48, 0.00017342818
49, 0.00016822615
50, 0.00017711459
51, 0.00017934741
52, 0.00017717681
53, 0.00018253092
54, 0.0001705204
55, 0.00017294404
56, 0.00018198857
